04_1,04_1,04_2,04_2,04_3,04_3,05_1,05_1,05_2,05_2,05_3,05_3
"break (broke,broken)v.",break ,button n. 纽,button ,"carrier n. 搬运者,媒介, ",carrier ,"changeable a.易变的,变化无常的 ",changeable ,"civil a. 国内的, 平民(非军人)的, 民用的",civil ,comb n. 梳子 v. 梳,comb 
,,,,,,,,civilization n.文明,civilization ,"combine vt. 使联合,使结合",combine 
,,,,,,,,"clap vi. 拍手, 鼓掌",clap ,"come (came, come) vi. 来,来到",come 
,,,,,,"channel n.频道,通道,水渠",channel ,,,comedy n. 喜剧,comedy 
,,,,,,"chaos 混乱,杂乱",chaos ,"clarify 阐明,澄清",clarify ,"comfort n. 安慰, 慰问",comfort 
,,,,carrot n.胡萝卜,carrot ,chapter n. 章,chapter ,"class n. (学校里的)班,年级,课 ",class ,"comfortable a. 舒服的,安逸的,舒服自 在的",comfortable 
,,,,,,,,"classic a.最佳的, 优秀的, 典型的",classic ,command n. & v. 命令,command 
,,,,,,,,"classify 分类,归类",classify ,comment n. 评论,comment 
breakfast n. 早餐,breakfast ,"buy (bought,bought) by prep 在......旁,",buy ,"carry vt. 拿,搬,运等",carry ,,,classmate n. 同班同学,classmate ,"commercial 商业的,贸易的",commercial 
,,,,"cart n. 运货马车,手推车 ",cart ,"character 特点,特性,特色 ",character ,classroom n. 教室,classroom ,"commit 做出(违法的事),犯··",commit 
,,,,,,,,,,committee 委员会,committee 
,,,,,,characteristic 独特的,characteristic ,"clean vt. 弄干净,擦干净 a. 清洁的, 干净的",clean ,"common a. 普通的,一般的,共有的 ",common 
,,,,,,,,,,"communicate v. 交际,传达(感情,信息 等)",communicate 
,,,,,,charge 收费,charge ,"cleaner n. 清洁工,清洁器,清洁剂 ",cleaner ,"communication n. 交际,交往,通讯 ",communication 
,,,,,,,,,,communism n. 共产主义,communism 
,,,,,,,,"clear a. 清晰的,明亮的,清楚的",clear ,"companion n. 同伴,同事",companion 
,,,,"cartoon n. 动画片,卡通,漫画",cartoon ,"chart 图表,海图",chart ,"clerk n. 书记员,办事员,职员",clerk ,company n. 公司,company 
"breakthrough n. 突破,进展 ",breakthrough ,bye 再见,bye ,carve v.雕刻,carve ,,,"clever a. 聪明的,伶俐的",clever ,"compare vt. 比较,对照",compare 
,,,,,,"chat n. & vi. 聊天,闲谈 ",chat ,click v. 点击(计算机用语),click ,"compensate 补偿,弥补",compensate 
,,,,,,"cheap a. 便宜的,",cheap ,climate n. 气候,climate ,"compete vi. 比赛,竞赛",compete 
breast n. 胸脯,breast ,cab n.(美),cab ,"case n. 情况,病例,案件 ",case ,"cheat n. & v. 骗取,哄骗,作弊 ",cheat ,"climb v. 爬,攀登",climb ,"competence . 管辖权,技能,本领 ",competence 
,,,,,,,,,,competition 竞赛,competition 
,,,,"cash n. 现金,现钞",cash ,"cheek n. 面颊,脸蛋",cheek ,clinic n. 诊所,clinic ,"complete a. 完成的 vt. 完成,结束 ",complete 
,,,,,,,,,,"composition n. 作文,作曲",composition 
,,,,,,,,,,comprehension n. 理解,comprehension 
"breath n. 气息,呼吸 ",breath ,"cabbage n. 卷心菜,洋白菜 ",cabbage ,cast v. 投掷; 投射; ,cast ,"cheer n. & vi.欢呼, 喝彩 ",cheer ,clock n. 钟,clock ,"compromise 妥协,和解,折中",compromise 
,,,,,,"cheerful 快乐的,高兴的",cheerful ,clonen. 克隆(无性繁殖出来的有机体群) ,clonen. ,"compulsory 强制性的,义务的",compulsory 
,,,,,,"cheers 干杯,再见",cheers ,"close a. 亲密的,近,近",close ,computer n. 电子计算机,computer 
,,"cafe n. 咖啡馆, 餐馆",cafe ,castle n. 城堡,castle ,cheese n. 奶酪,cheese ,cloth n. 布,cloth ,"concentrate v.集中(注意力等于),专心 ",concentrate 
,,,,,,,,,,"concept n. 概念, 观念",concept 
,,cafeteria n. 自助餐厅,cafeteria ,casual adj 随便的,casual ,,,,,"concern v. 与...有关,使(某人)(为...) 担心",concern 
breathe vi. 呼吸,breathe ,"cage n 笼,鸟笼",cage ,cat n. 猫,cat ,"chef n. 主厨,大师傅 ",chef ,"clothes n. 衣服,各种衣物",clothes ,,
,,,,,,,,clothing n. (总称) 衣服,clothing ,"concert n. 音乐会,演奏会",concert 
,,,,,,,,"cloud n. 云,云状物,阴影",cloud ,,
,,,,,,,,"club n. 俱乐部,纸牌中的梅花",club ,"conclude v. 完成,结束",conclude 
,,,,,,,,"coach n. 教练,马车,长途车",coach ,"conclusion n.结论,结束",conclusion 
,,,,,,chemical 化学的,chemical ,"coal n. 煤,煤块",coal ,"concrete n.混凝土 adj.用混凝土制成 的,具体的",concrete 
"brick n. 砖,砖块",brick ,"cake n. 蛋糕,糕点,饼 ",cake ,catastrophe n. 大灾难; 悲剧的结局 ,catastrophe ,"chemist n. 药剂师,化学家 ",chemist ,"coast n. 海岸,海滨",coast ,"condition n. 条件,状况",condition 
,,,,"catch (caught,caught) v. 接住,捉住, 染上(疾病)",catch ,chemistry n. 化学,chemistry ,"coat n. 外套,涂层,表皮,皮毛 vt. 给......穿外套,涂上",coat ,"conduct vt. 引导,带领",conduct 
,,calculate vt. 计算,calculate ,"category n. 种类,类别,类目",category ,check n. 支票,check ,cock n. 公鸡,cock ,"conductor n. 管理人,指导者,(车上的)",conductor 
bride n. 新娘,bride ,"call n. 喊,叫,电话,通话",call ,"cater vt. 满足需要; 投合,迎合",cater ,chess n. 棋,chess ,coffee n. 咖啡,coffee ,,
bridegroom n. 新郎,bridegroom ,,,,,chest 胸部,chest ,coin n. 硬币,coin ,"conference n. (正式的)会议,讨论",conference 
bridge n. 桥,bridge ,"calm a. 镇静的, 沉着的",calm ,"cattle n. 牛(总称),家畜 ",cattle ,chew vt. 咀嚼,chew ,"coincidence 巧合,巧事",coincidence ,,
brief a. 简洁的,brief ,,,,,"chicken n. 鸡,鸡肉",chicken ,coke 焦炭,coke ,"confident a.有自信的,确信的 ",confident 
"bright a. 明亮的,聪明的",bright ,camel n. 骆驼,camel ,"cause n. 原因,起因",cause ,"chief a. 主要的, 首要的 n. 领导,头 ",chief ,"cold a. 冷的,寒的 n. 寒冷,感冒,伤 风",cold ,,
,,,,,,,,"collar n. 衣领, 硬领",collar ,"confirm v. 证实,确定",confirm 
,,,,,,child (复,child ,colleague n.同事,colleague ,"conflict v. 冲突,争斗",conflict 
,,,,,,"children  n. 孩子,儿童",children ,"collect vt. 收集,搜集",collect ,"confuse v.使困惑,使糊涂",confuse 
,,,,,,"childhood n. 幼年时代,童年",childhood ,"collection 收集物,收藏品,一群(人, 物)",collection ,"congratulation n.祝贺,庆贺",congratulation 
"bring (brought, brought)",bring ,,,caution n. 小心;谨慎,caution ,,,"college n. 学院,专科学校",college ,,
"Britain ▲n. 英国,不列颠",Britain ,"camera n. 照相机,摄像机 ",camera ,cautious a.小心谨慎的,cautious ,"chimney n. 烟囱,烟筒",chimney ,collision n.碰撞,collision ,,
"Britisha. 英国的,大不列颠的,英国人 的",Britisha. ,camp n. (夏令)营,camp ,"cave n. 洞,穴,地窖",cave ,China n. 中国,China ,"color n. 颜色 vt. 给......着色, 涂色",color ,,
"broad a. 宽的,宽大的",broad ,campaign n. 运动;战役 ,campaign ,"ceiling n. 天花板,顶棚",ceiling ,"Chinese a. 中国的,中国人的,中国话的, 汉语的",Chinese ,,,,
"broadcast ( broadcast, broadcast 或 ed,ed)vt.广播 n. 广播节目",broadcast ,"can aux. 可能,能够",can ,celebrate v. 庆祝,celebrate ,,,,,,
broom n. 扫帚,broom ,,,"celebration 庆祝,庆典",celebration ,chocolate n. 巧克力,chocolate ,,,,
"brother n. 兄,弟",brother ,"could can v. 不可能,不能够,",could ,cell 牢房,cell ,,,,,,
