序号,英文,词意,序号,英文,词意
1,incident,n. 事件,68,job,n. （一份）工作
2,include,vt. 包含，包括,69,join,v.参加，加入，连接，会合
3,income,n. 收入，所得,70,joke,n. 笑话
4,increase,v. & n. 增加，繁殖,71,journalist,n. 记者，新闻工作者
5,indeed,a. 确实， 实在,72,journey,n. 旅行，路程
6,independence,n. 独立,73,joy,n. 欢乐，高兴，乐趣
7,independent,a. 独立的， 有主见的,74,judge,n. 裁判， 审判员， 法官 vt. 判断，断定
8,India,n. 印度,75,judgement,n. 裁判
9,Indian,a.（美洲）印地安人的， 印度人的 n.印地安人， 印度人,76,juice,n. 汁、液
10,indicate,"vt. 指示,暗示",77,July,n. 七月
11,industry,n. 工业，产业,78,jump,n. 跳跃 v. 跳跃，惊起，
12,infer,vt推断，推定,79,June,n.六月
13,influence,n.& v. 影响,80,jungle,n. 丛林
14,inform,vt. 告诉，通知,81,junior,a. 初级的，年少的
15,information,n. 信息,82,just,ad.刚才，恰好，不过，仅 a. 公正的
16,injure,vt. 损害，伤害,83,justice,n. 正义， 公正，司法
17,injury,n. 受伤处,84,keep,"v. 保持，保存，继续不断n. 生计,维持"
18,ink,n. 墨水，油墨,85,key,"a. 主要的,关键的n. 钥匙vt. 键入"
19,inn,n. 小旅店，小饭店,86,keyboard,n. 键盘
20,innocent,无辜的,87,kick,"n. 踢,反冲,后座力v. 踢,反抗,反冲"
21,insect,n.昆虫,88,kid,n. 小孩
22,insert,vt.插入,89,kill,"n. 杀,杀戮v. 杀,破坏,消减"
23,inside,prep. 在……里面 ad. 在里面,90,kilo,n. 公斤、公里之略写
24,insist,vi. 坚持，坚决认为,91,kilogram,n. 千克
25,inspect,vt. 检查，检验，审视,92,kilometer,"n.公里,千米"
26,inspire,vt. 鼓舞， 激励,93,kind,"a. 仁慈的,友好的n. 种类"
27,instant,a. 瞬间，刹那,94,kindergarten,n幼儿园
28,instead,ad. 代替，顶替,95,kindness,n.好意
29,institute,"n. (研究)所, 院，学院",96,king,n国王
30,institution,n.慈善机构，社会福利机构,97,kingdom,n.王国
31,instruct,vt. 通知， 指示，教,98,kiss,"n. 吻,轻触 v.吻,接吻,轻拂"
32,instruction,n. 说明，须知，教导,99,kitchen,n. 厨房
33,instrument,n. 乐器，工具，器械,100,kite,n. 风筝
34,insure,vt. 给……保险,101,knee,"n. 膝,膝盖"
35,intelligence,n.智力,102,knife,"n. 刀v. 用刀切割,如刀割般"
36,intend,vt. 想要，打算,103,knock,"n. 敲,敲打,敲门v. 敲击,互撞,攻击"
37,intention,n.意图,104,know,"v. 知道,了解,认识"
38,interest,n. 兴趣，趣味，利息,105,knowledge,n.知识
39,interesting,a. 有趣的,106,lab,n. (人坐时)膝部，(跑道的)一圈
40,international,a. 国际的,107,labor,n. 劳动
41,Internet,n. 互联网，英特网,108,lack,n.& vt. 缺乏，缺少
42,interpreter,n.口译者 ，说明者,109,ladder,n. 梯子
43,interrupt,v. 打扰，打断,110,lady,n. 女士，夫人
44,interval,n. 中断，间断,111,lake,n. 湖
45,interview,n.& vt. 采访，会见，面试,112,lamb,n. 羔羊
46,into,prep. 到……里，向内，变成,113,lamp,n. 灯，油灯，光源
47,introduce,vt. 介绍,114,land,n. 陆地，土地 v. 登岸（陆），降落
48,introduction,n. 引进，介绍,115,language,n. 语言
49,invent,vt. 发明，创造,116,lap,n. (人坐时)膝部，(跑道的)一圈
50,invention,n. 发明，创造,117,large,大的，巨大的 激光
51,invitation,n. 邀请，请帖,118,last,a. 最近刚过去的，最后的ad. 最近刚过去，最后地 n.最后v. 持续
52,invite,vt. 邀请，招待,119,late,a. 晚的，迟的ad. 晚地，迟地
53,iron,n. 铁，熨斗 vt. 熨烫,120,lately,ad. 最近，不久前
54,island,n. 岛,121,later,a． 晚些的，迟些的
55,it,它,122,latter,n. （两者之中的）后者
56,its,pron. 它的,123,laugh,n.& v. 笑，大笑，嘲笑
57,itself,pron. 它自己,124,laundry,n. 洗衣店，要洗的衣服
58,jacket,n. 短上衣，夹克衫,125,laughter,n. 笑， 笑声
59,jam,n. 果酱，阻塞,126,law,n. 法律，法令，定律
60,January,n. 一月,127,lawyer,n. 律师
61,Japan,n. 日本,128,lay, vt. 放，搁
62,Japanese,a. 日本的，日本人的， n. 日本人，日语,129,lazy,a. 懒惰的
63,jar,n. 罐子， 坛子,130,lead,"n. 铅 v. (led, led) 领导，带领"
64,jazz,n. 爵士音乐，爵士舞曲,131,leader,n.领袖，领导人
65,jeans,n. 牛仔裤,132,leaf,(复leaves) n. （树，菜）叶
66,jet,n.喷气式飞机,133,league,n. 联盟，社团
67,jewellry,n. （总称）珠宝,,,
