高考3500单词第9页,,,,,
1,fairly,ad. 公正地，正当地，相当（程度）地,57,fire,n.火，火炉，火灾 vi. 开火， 开（枪，炮等），射击
2,faith,n.信仰，信念,58,fireworks,n. 焰火
3,fall,"n.（美）秋季v.(fell, fallen) vi. 落（下），降落，倒",59,firm,n. 公司， 企业a. 坚固的，坚定的
4,FALSE,a.不正确的，假的,60,first,num. 第一 a.& ad. 第一，首次，最初n. 开始，开端
5,familiar,a. 熟悉的,61,at first, 开始，起先
6,family,n. 家庭，家族，子女,62,first of all,首先
7,famous,a. 著名的,63,fish,n. 鱼，鱼肉 vi. 钓鱼，捕鱼
8,fan,n.（电影、运动等的）迷，热心的爱好者（支持者） 风扇,64,fist,n. 拳(头)
9,fancy,vt. 想像； 设想； 想要； 猜想 n. 设想； 想像力； 爱好； 怪想,65,fit,"a. 健康的, 适合的 v. （使）适合，安装"
10,fantastic,"a.花式的，装饰的，奇特的 (口语)极好的,美妙的，很棒的",66,five,num. 五
11,fantacy,n.幻想v.想象,67,fix,vt. 修理，安装， 确定，决定
12,far,"(比较级farther, 最高级farthest 或 further,furthest) a.& ad. 远的，远地 （范围）就……，尽……",68,flag,n. 旗，标志，旗舰
13,fare,n.（乘车或船等的）费用，票（价）】,69,flame,n. 火焰，光辉
14,farm,n. 农场，农庄,70,flash,n. 闪，闪光， 转瞬间
15,farmer,n. 农民,71,flat,a. 平的 n. 楼中一套房间， 公寓(常用复数)
16,fast,a. 快的，迅速的，紧密的 ad. 快地，迅速地，紧密地,72,flee,v. 逃走，逃跑
17,fasten,vt. 扎牢，扣住,73,flesh,n. 肉
18,fat,n. 脂肪 a. 胖的，肥的,74,flexible,adj.灵活的；易弯曲的；柔韧的；易被说服的
19,father,n.父亲,75,flight,n. 航班n. 楼梯的一段
20,fault,n. 缺点，毛病,76,float,vi. 漂浮，浮动
21,favor,n. 恩惠，好意，帮助,77,flood,n. 洪水 vt. 淹没，使泛滥
22,favorite,a. 喜爱的 n. 特别喜爱的人（或物）,78,floor,n. 地面，地板，（楼房的）层
23,fax,n. 传真,79,flour,n. 面粉，粉
24,fear,n. 害怕，恐惧， 担忧,80,flow,vi. 流动
25,feast,盛会，宴会,81,flower,n. 花
26,feather,n. 羽毛,82,flu,n. 流行性感冒
27,February,n. 二月,83,fluency,n.流利，流畅
28,federal,a. 中央的（政府等），联邦的,84,fluent,a. 流利的
29,fee,n. 费，费用,85,fly,"n.飞行，苍蝇 v. (flew,flown) （鸟、飞机）飞，（人乘飞机）飞行，（旗子等）飘动 vt. 空运（乘客，货物等），放（风筝、飞机模型等）"
30,feed,"(fed, fed) vt. 喂（养），饲（养）",86,fog,n.雾 foggy a.多雾的
31,feel,"(felt, felt) v.& link 感觉，觉得，摸，触",87,fold,vt.折叠，合拢
32,feeling,n. 感情，感觉,88,folk,a. 民间的
33,fellow,n. 同伴，伙伴,89,follow,vt. 跟随，仿效，跟得上
34,female,a. 女的，女性的，雌性的,90,fond,a. 喜爱的，爱好的
35,fence,n. 栅栏，围栏，篱笆,91,Be fond of,喜爱
36,festival,a. 节日的，喜庆的,92,food,n. 食物，食品
37,fetch,vt. （去）取（物）来，（去）带（人）来,93,fool,n. 傻子，蠢人
38,fever,n. 发烧，发热,94,foolish,a. 愚蠢的，傻的
39,few,pron. 不多，少数 不多的，少数的,95,foot,(pl.feet) n. 足，脚，英尺
40,fiction,n.小说,96,on,foot步行
41,field,n. 田地，牧场，场地,97,football,n.（英式）足球，（美式）橄榄球
42,fierce,a. 猛烈的,98,for,prep. 为了……，向……，往……，与……交换，防备……，适合……，因为……，在……期 间，对于……，对……来说
43,fifteen,num. 十五,99,,
44,fifth,num. 第五,100,force,vt. 强迫，迫使
45,fifty,num. 五十,101,forecast,n. & vt. 预告
46,fight,n. 打仗（架），争论,102,forehead,n. 前额
47,figure,n. 数字，数目，图，图形，（人的）身型，人物，（绘画、雕刻的）人物像 vt. （美口语）认为，判断，（在心里）想像，描绘,103,foreign,a. 外国的
48,file,n. 公文柜，档案，（计算机）文档】,104,foreigner,n. 外国人
49,fill,vt. 填空，装满,105,forest,n. 森林
50,film,n. 电影，影片，胶卷vt. 拍摄，把……拍成电影,106,"forget(forgot, forgotten)", v. 忘记，忘掉
51,final,a. 最后的，终极的,107,"forgive(forgave, forgiven)", vt. 原谅，宽恕
52,finance,n.金融，资金,108,fork,n.餐叉，岔路 v.叉起，分岔，走岔路
53,find,vt. 找到，发现，感到,109,form,n. 表格，形式，结构
54,fine,a. 细的，晴朗的，美好的，（身体）健康的 n.& v. 罚款,110,former,a. 以前的，从前的，（两者之中的）前者
55,finger,n. 手指,111,fortnight,n. 十四日，两星期
56,finish,v. 结束，做完,,,
57,entire,a. 整个的，全部的,125,extremely,ad. 极其，非常
58,entrance,n. 入口，入场，进入的权利;入学许可,126,eye,n.眼睛，视力
59,entry,n. 进入,127,eyesight,n. 视力，视觉
60,envelope,n.信封,128,face,n. 脸 vt. 面向，面对
61,environment,n环境,129,facial,a.面部用的
62,envy,vt.& n. 忌妒， 羡慕,130,fact,n. 事实，现实
63,equal,a.平等的 vt. 等于，使等于,131,factory,n. 工厂
64,equality,n.平等,132,fade,vi. 褪色，（颜色）消退
65,equip,vt. 提供设备，装备，配备,133,fail,v.失败，不及格，衰退
66,equipment,n. 装备，设备,134,failure,n.失败
67,eraser,n.橡皮擦,135,fair,a.公平的，合理的a.(肤色)白皙的， （人）白肤金发的n.集市，庙会，展览会
68,erupt,v.喷发，爆发,,,
