序号,英文,词意,序号,英文,词意
1,fortunate,,68,get,"(got , got) vt. 成为，得到，具有，到达"
2,fortune,,69,gift,n. 赠品， 礼物
3,forty,,70,giraffe,n. 长颈鹿
4,forward,,71,girl,n.女孩
5,found,,72,give,"(gave, given) vt. 给，递给，付出，给予"
6,fountain,,73,glad,a. 高兴的，乐意的
7,four,,74,glance,vi. 匆匆一看， 一瞥
8,fourth,,75,glare,n vt.& vi.怒目而视
9,fox,,76,glass,n. 玻璃杯，玻璃，(复glasses)眼镜
10,fragile,,77,globe,n. 地球仪，地球
11,fragrant,,78,glory,n. 巨大的光荣，荣誉，赞美
12,framework,,79,glove,n. 手套
13,France,,80,glue,n. 胶水
14,free,,81,go,vi. 去，走，驶，通到，到达
15,set free,,82,goal,n.（足球）球门，目标
16,freedom,,83,goat,n. 山羊
17,freeze,,84,god,n. 神，（大写）上帝
18,freezing,,85,gold,n. 黄金 a 金的，黄金的
19,Frenchman,,86,golden,a. 金(黄)色的
20,frequent,,87,golf,n.高尔夫
21,fresh,,88,good,"(比较级better, 最高级best) a. 好，良好"
22,Friday,,89,goodbye,int. 再见，再会
23,fridge,,90,goods,n. 商品，货物
24,friend,,91,goose,(复geese) n. 鹅
25,friendly,,92,govern,v.统治， 管理
26,friendship,,93,government,n. 政
27,frighten,,94,grade,n. 等级，（中小学的）学年，成绩，分数
28,frog,,95,gradual,a. 逐渐的
29,from,,96,gradually,ad. 逐渐地
30,front,,97,graduate,v. 毕业
31,frontier,,98,graduation,n.毕业
32,frost,,99,grain,n. 谷物，谷类
33,fruit,,100,gram,n. 克(重量单位)
34,fry,,101,grammar,n. 语法
35,fuel,,102,grand,a.宏伟的
36,full,,103,granny,n.老奶奶，祖母，外婆
37,be full of,,104,grape,n.葡萄；
38,fun,,105,graph,n.图表，曲线图
39,make fun of,,106,grasp,v.抓住，紧握
40,function,,107,grass,n. 草，草场，牧草
41,fundamental,,108,grateful,a.感激的，感谢的
42,funeral,,109,gravity,n. n.重力；万有引力
43,funny,,110,great,a. 伟大的，重要的，好极了 ad. （口语）好极了，很好
44,fur,,111,greedy,a. 贪婪的
45,furniture,,112,Greek,a. n.希腊的，希腊人的，希腊语的 希腊人
46,further,,113,Greece,n.希腊
47,future,,114,green,a. 绿色的，青的 n. 绿色
48,gain,,115,greet,vt. 问候，向……致敬
49,gallery,,116,greeting,n. 祝贺
50,gallon,,117,gray,a. 灰色的， 灰白的
51,game,,118,grocer,n.零售商人，食品店
52,garage,,119,grocery,n. 食品杂货店
53,garbage,,120,ground,n. 地面
54,garden,,121,group,n. 组，群
55,garment,,122,grow,v.生长，发育，种植，变成
56,gas,,123,guarantee,v.保证，保障
57,gate,,124,guard,n. 防护装置，警戒
58,gather,,125,guess,vi. 猜
59,general,,126,guest,n. 客人，宾客
60,generation,,127,guidance,n. 引导，指导
61,generous,,128,guide,n. 向导，导游者
62,gentle,,129,guilty,a. 有罪的，犯法的，做错事的
63,gentleman,,130,guitar,n. 吉他，六弦琴
64,geography,,131,gun,n.枪，炮
65,German,,132,guy,"n,小伙子"
66,Germany,,133,gym,n.体操
67,gesture,,134,gymnastics,n. 体操
