01_01,01_01,01_02,01_02,01_03,01_03,02_01,02_01,02_02,02_02,02_03,02_03,03_01,03_01,03_02,03_02,03_03,03_03
"a (n) 一(个,块。。。)",a ,actor n.男演员,actor ,"against prep. 对着,反对",against ,amusement n. 娱乐,amusement ,approve vt. 赞成,approve ,"attack vt. 攻击,袭击  ",attack ,ballet n. 芭蕾舞; 芭蕾舞剧 ,ballet ,"behave v.守规矩, 行为  ",behave ,"bleed vi. 出血,流血",bleed 
,,,,,,,,,,,,,,"behavior n. 行为,举止",behavior ,bless v. 保佑,bless 
,,,,,,,,,,,,,,behind prep.在......后面,behind ,blind a.瞎的,blind 
,,,,,,,,,,,,balloon n. 气球,balloon ,"belief n. 信条,信念",belief ,"block n. 大块,(木、石等)块,街区,",block 
,,,,,,analyze v.分析,analyze ,,,,,bamboo n. 竹子,bamboo ,"believe v. 相信,认为",believe ,,
,,,,,,analysis n.分析,analysis ,,,"attempt vt. 试图,尝试",attempt ,ban vt. 禁止,ban ,"bell n. 钟,铃,钟(铃)",bell ,,
"abandon vt. 放弃,抛弃",abandon ,actress n.女演员,actress ,,,"ancestor n. 祖宗, 祖先 ",ancestor ,"approximately adv.接近,近似地 ",approximately ,"attend v. 看护,照料,参加",attend ,,,belong vi. 属,belong ,,
,,,,,,"ancient a. 古代的,古老的",ancient ,April n. 四月,April ,"attention n. 注意,关心",attention ,banana n. 香蕉,banana ,belong ing n. 所属物,belong ,"blood n. 血,血液",blood 
,,,,,,"and conj. 和,又,而",and ,,,,,band n. 乐队,band ,below prep. 在......下面,below ,,
"able a.能够,有能力的",able ,"actual a.实际的,现实的",actual ,"age n. 年龄,时代",age ,"anger n. 怒,愤怒",anger ,architecture n. 建筑学;建筑 ,architecture ,pay attention (to) 注意...... ,pay attention to,bandage n. 绷带,bandage ,belt n. (皮)带,belt ,"blouse n. 宽罩衫,(妇女、儿童穿的)短 上衣",blouse 
,,,,,,,,Arctic a. 北极的,Arctic ,,,"bank n.(河、海、湖的)岸, 银行",bank ,"bench n. 长凳, 工作台",bench ,"blow (blew, blown) v. 吹,刮风,吹气 ",blow 
,,,,,,,,the Arctic 北极,the Arctic,"attitude n. 态度,看法",attitude ,barbecue n.烤烧,barbecue ,"bend (bent, bent) vt. 使弯曲 ",bend ,blue n. 蓝色,blue 
,,,,,,,,,,,,,,beneath prep. 在......下方(面),beneath ,"board n. 木板,布告牌",board 
,,,,,,,,,,,,,,beneficial a. 有利的,beneficial ,,
,,,,,,,,"area n. 面积,地域,地方,区域",area ,"attract v.吸引,引起",attract ,bare a.,bare ,"benefit n./ v.有利,利益/对......有利",benefit ,"boat n. 小船,小舟",boat 
,,,,,,,,,,,,,,beside prep. 在......旁边,beside ,,
