23_1,23_1,23_2,23_2,23_3,23_3,24_1,24_1,24_2,24_2,24_3,24_3
"trunk n. 树干,大箱子",trunk ,unknown a. 不知道 的,unknown ,"view n. 看法,见解,风景,景色",view ,weakness n.软弱,weakness ,"whistle n.哨声,鸣叫 声,汽笛,呼啸声",whistle ,"word n.词,单词;话 ",word 
,,,,"village n. 村庄,乡村",village ,,,"white a& n.白色的,白色",white ,"work n.工作,劳动,事情",work 
"trust vt. 相信,信任,信赖",trust ,"unless conj. 如果不,除非",unless ,violence n. 暴力行为,violence ,"wealth n.财产,财富          ",wealth ,who pron.谁,who ,,
"truth n. 真理,事实,真相,实际情况",truth ,"unrest n. 不安,骚动",unrest ,violent a. 暴力的,violent ,wealthy adj.富有的,wealthy ,whole a.整个的,whole ,worker n.工人,worker 
,,,,,,"wear(wore,worn) v.穿,戴","wear(wore,worn) ",,,,
,,,,,,weather n.天气,weather ,,,,
,,,,,,website n.网址,website ,,,,
,,,,,,"wedding n. 婚礼,结婚",wedding ,,,,
,,,,,,Wednesday n.星期三,Wednesday ,,,,
,,,,,,"weed n.野草,杂草",weed ,,,,
,,,,,,"week n. 星期,周",week ,,,,
,,,,,,weekday n.周日,weekday ,,,,
,,,,,,weekend n.周末,weekend ,,,,
"try v. 试,试图,努力",try ,until prep.& 直到......为止,until ,,,"weekly adj 每周一次的,周报 adv 每周 ",weekly ,,,,
,,,,,,weep vi 哭泣 vt流下,weep ,,,,
T-shirt n. T 恤,T-shirt ,"unusual a. 不平常的,异常的",unusual ,violin n.小提琴,violin ,"weigh vt. 称......的重量,重(若干)",weigh ,whom pron.who 的宾格,whom ,world n.世界,world 
"Tube n.管,筒",Tube ,"up ad. 向上,在上方,起来,在......以上 a. 上面的,向上的,上行的",up ,"virtue n. 美德,正直的品行,德行",virtue ,"weight n.重,重量",weight ,whose pron. 谁的,whose ,"worldwide a.遍及全球的,世界范围的 ",worldwide 
,,,,,,,,,,"worry n.& v.烦恼,担忧,发怒;困扰",worry 
Tuesday n. 星期二,Tuesday ,,,virus n 病毒,virus ,,,why ad. 为什么 示反驳、不耐烦等),why ,"worth a.有......的价值,值得......的 ",worth 
,,,,,,,,,,worthwhile a.值得做的,worthwhile 
turkey n.火鸡,turkey ,,,"visa n. 签证,背签",visa ,welcome int. 欢迎 n.& v.a.受欢迎的 ,welcome ,wide a.宽阔的,wide ,"worthy adj 值得的, 值得尊敬的,",worthy 
